"RMSE","Rsquared","MAE","Resample"
1458.36905563714,0.288867703855707,1232.71591796875,"Training100"
1450.46224209227,0.00328729710749918,1113.20126953125,"Training091"
2203.79143690508,0.0388917629478961,1952.92470703125,"Training083"
3823.53171660841,0.174542013169523,3623.28676757812,"Training080"
1309.97327556232,0.480594922162592,1139.50068359375,"Training099"
1205.28492078775,0.313682958037451,965.92216796875,"Training094"
1614.00873117608,0.00166494237595174,1184.424609375,"Training090"
1261.48452977701,0.202504639290108,991.505859375,"Training093"
3237.23909540978,0.111461272772331,2942.98491210937,"Training082"
3601.87674445682,0.093254188571468,3307.34560546875,"Training081"
1176.97105321563,0.602738006609999,988.76494140625,"Training097"
1218.86390631725,0.433809875056565,966.5109375,"Training096"
1515.90936281547,0.001350323611702,1146.16103515625,"Training089"
1095.29696861533,0.250395969935426,888.1666015625,"Training095"
1562.09434746651,0.0167887209417684,1162.48984375,"Training088"
1378.80982435906,0.138026560024645,1233.72041015625,"Training085"
1391.31178642317,0.513598266665224,1169.28193359375,"Training098"
1568.81486353811,0.146005358646701,1347.24169921875,"Training084"
1582.65539475056,0.126886244701258,1219.7294921875,"Training086"
1360.82793527899,0.343759859712574,1115.7140625,"Training092"
1336.50303751818,0.0668448173254154,1020.544140625,"Training087"
