"";"mes_ano";"licen";"pib";"selic";"tx_cambio";"prod_ind";"infl"
"1";2014-01-01;10778;979184,773222396;0,85;2,381604545;126,12816;0,48
"2";2014-02-01;10437;962588,670953956;0,79;2,38309;144,76392;0,38
"3";2014-03-01;9241;984072,437484343;0,77;2,325494737;136,72061;1,67
"4";2014-04-01;10888;981746,975344854;0,82;2,231725;133,98463;0,78
"5";2014-05-01;12710;983665,510980166;0,87;2,220280952;133,25308;-0,13
"6";2014-06-01;10585;954084,649917116;0,82;2,23486;101,82421;-0,74
"7";2014-07-01;12388;1010358,54439288;0,95;2,224021739;125,01451;-0,61
"8";2014-08-01;10807;1006100,98866712;0,87;2,26742381;129,05795;-0,27
"9";2014-09-01;11210;1007691,81356314;0,91;2,332254545;139,05077;0,2
"10";2014-10-01;12172;1041102,72251448;0,95;2,447643478;141,25427;0,28
"11";2014-11-01;12153;1030155,6739444;0,84;2,54823;126,38273;0,98
"12";2014-12-01;13686;1041798,46230677;0,96;2,638736364;90,67936;0,62
"13";2015-01-01;7661;979549,536299846;0,94;2,633619048;102,79266;0,76
"14";2015-02-01;5153;945936,351410118;0,82;2,815838889;100,57781;0,27
"15";2015-03-01;6491;1028666,11926226;1,04;3,138863636;119,30652;0,98
"16";2015-04-01;5789;987949,894459092;0,95;3,042595;102,93962;1,17
"17";2015-05-01;6016;969751,90229646;0,99;3,061075;99,7437;0,41
"18";2015-06-01;6181;972602,908016686;1,07;3,11112381;91,26001;0,67
"19";2015-07-01;6494;997155,143421782;1,18;3,222508696;100,17239;0,69
"20";2015-08-01;5809;971059,673060123;1,11;3,513695238;95,24791;0,28
"21";2015-09-01;5927;975227,915045043;1,11;3,905809524;84,3684;0,95
"22";2015-10-01;5778;1010504,30571438;1,11;3,879504762;92,1073;1,89
"23";2015-11-01;4735;982184,966728131;1,06;3,7758;82,13856;1,52
"24";2015-12-01;5618;982728,826242558;1,16;3,870495455;62,43509;0,49
"25";2016-01-01;4416;918661,914905345;1,06;4,051715;70,59813;1,14
"26";2016-02-01;3851;909655,360200727;1;3,973115789;70,55385;1,29
"27";2016-03-01;4843;945577,58702836;1,16;3,703309091;90,58972;0,51
"28";2016-04-01;4202;924534,4334485;1,06;3,56524;81,24866;0,33
"29";2016-05-01;4076;930940,986774208;1,11;3,538685714;83,26787;0,82
"30";2016-06-01;4200;965091,457095321;1,16;3,423877273;87,84063;1,69
"31";2016-07-01;4684;942840,260492667;1,11;3,274710526;86,49188;0,18
"32";2016-08-01;4400;944349,586491088;1,22;3,209056522;88,34822;0,15
"33";2016-09-01;4194;899229,096609593;1,11;3,255771429;85,70441;0,2
"34";2016-10-01;3444;924160,953633797;1,05;3,1852;85,8237;0,16
"35";2016-11-01;3800;951442,417414374;1,04;3,3414;91,8943;-0,03
"36";2016-12-01;4450;994346,320376494;1,12;3,35166818181818;73,68892;0,54
"37";2017-01-01;2948;920454,989647211;1,09;3,19598636363636;74,39126;0,64
"38";2017-02-01;2614;892986,9414697;0,87;3,10358888888889;83,97396;0,08
"39";2017-03-01;4104;944673,031237963;1,05;3,12733043478261;100,593;0,01
"40";2017-04-01;3469;911476,937590768;0,79;3,13557222222222;82,21953;-1,1
"41";2017-05-01;4105;962995,188574267;0,93;3,20870454545455;106,35596;-0,93
"42";2017-06-01;4217;985939,909038755;0,81;3,29476666666667;93,73753;-0,67
"43";2017-07-01;4535;993741,137417238;0,8;3,2055380952381;97,48177;-0,72
"44";2017-08-01;4834;997521,499207443;0,8;3,15031304347826;113,80741;0,1
"45";2017-09-01;4540;948620,526583699;0,64;3,13419;103,67554;0,47
"46";2017-10-01;5029;980662,374056404;0,64;3,1906380952381;109,49423;0,2
"47";2017-11-01;5472;1008824,16015287;0,57;3,258735;109,11141;0,52
"48";2017-12-01;6076;1043811,89283533;0,54;3,29131;92,55962;0,89
"49";2018-01-01;4561;976191,388579276;0,58;3,20998636363636;94,46156;0,76
"50";2018-02-01;4040;922205,692295606;0,47;3,24090555555556;98,34234;0,07
"51";2018-03-01;5933;975949,708019283;0,53;3,27861428571429;118,89856;0,64
"52";2018-04-01;6166;968425,995735021;0,52;3,4069;117,12183;0,57
"53";2018-05-01;5626;941688,276614427;0,52;3,63546190476191;93,68938;1,38
"54";2018-06-01;5704;986062,927489056;0,52;3,77257142857143;119,00865;1,87
"55";2018-07-01;6591;971890,908004026;0,54;3,82813636363636;119,18263;0,51
"56";2018-08-01;7457;966465,035039756;0,57;3,92915652173913;131,29172;0,7
"57";2018-09-01;6708;916959,966789516;0,47;4,11594736842105;107,50146;1,52
"58";2018-10-01;7897;960345,901340305;0,54;3,75780454545455;123,18809;0,89
"59";2018-11-01;7680;954998,446976432;0,49;3,786015;112,24975;-0,49
"60";2018-12-01;7642;974589,195158966;0,49;3,88213636363636;81,51677;-1,08
"61";2019-01-01;6987;944768,764877472;0,54;3,74105454545455;91,44496;0,01
"62";2019-02-01;6876;927578,782598088;0,49;3,723025;114,60502;0,88
"63";2019-03-01;7601;937599,260136224;0,47;3,84588421052632;103,09869;1,26
"64";2019-04-01;8502;947904,304171012;0,52;3,89555714285714;118,99353;0,92
"65";2019-05-01;9128;957783,920508691;0,54;4,00091818181818;128,61057;0,45
"66";2019-06-01;7688;943519,336408949;0,47;3,85822631578947;109,19308;0,8
"67";2019-07-01;8942;981037,423322291;0,57;3,77871304347826;122,82197;0,4
"68";2019-08-01;9433;960155,79411621;0,5;4,01938181818182;124,25778;-0,67
"69";2019-09-01;9098;963498,897905076;0,46;4,1209;114,91928;-0,01
"70";2019-10-01;9418;1006194,15097608;0,48;4,08638695652174;128,28983;0,68
"71";2019-11-01;9064;989247,653222131;0,38;4,154725;109,6512;0,3
"72";2019-12-01;8598;1004181,85638106;0,37;4,10892380952381;79,29805;2,09
"73";2020-01-01;7285;940106,023112005;0,38;4,14886363636364;91,02429;0,48
"74";2020-02-01;6412;923594,918438662;0,29;4,34041111111111;104,08593;-0,04
"75";2020-03-01;6438;933850,054467422;0,34;4,88321818181818;86,425;1,24
"76";2020-04-01;3952;831197,04861908;0,28;5,324985;9,39419;0,8
"77";2020-05-01;4819;833866,44558978;0,24;5,64285;33,39736;0,28
"78";2020-06-01;8954;875820,783766365;0,21;5,196;53,80113;1,56
"79";2020-07-01;9540;918004,339482696;0,19;5,2796;80,60051;2,23
"80";2020-08-01;8076;891470,091430327;0,16;5,4606;92,61066;2,74
"81";2020-09-01;7312;881752,44873863;0,16;5,3989;102,39078;4,34
"82";2020-10-01;7909;879510,464211597;0,16;5,6252;110,21016;3,23
"83";2020-11-01;9143;857189,315532706;0,15;5,4172;109,77736;3,28
"84";2020-12-01;9838;854746,022072301;0,16;5,1449;96,61987;0,96
"85";2021-01-01;7537;807995,061485331;0,15;5,3556;95,52522;2,58
"86";2021-02-01;7781;814737,979140418;0,13;5,4159;96,55998;2,53
"87";2021-03-01;10759;864829,614487676;0,2;5,6455;103,27929;2,94
"88";2021-04-01;9785;814627,185495823;0,21;5,5615;97,5843;1,51
"89";2021-05-01;11497;800802,400618639;0,27;5,2904;103,76656;4,1
"90";2021-06-01;11371;772243,071660427;0,31;5,0313;97,12716;0,6
"91";2021-07-01;11974;797916,198809992;0,36;5,156;100,51319;0,78
"92";2021-08-01;12945;789101,777069825;0,43;5,2511;97,962;0,66
"93";2021-09-01;11624;789388,880124365;0,44;5,2791;93,52197;-0,64
"94";2021-10-01;11047;804612,676428192;0,49;5,5394;93,84251;0,64
"95";2021-11-01;10472;816681,312768294;0,59;5,5563;96,59856;0,02
"96";2021-12-01;11887;828449,585545332;0,77;5,6506;88,83741;0,87
"97";2022-01-01;8705;758435,816870024;0,73;5,5335;78,26064;1,82
"98";2022-02-01;8091;777065,821465638;0,76;5,196;91,96582;1,83
"99";2022-03-01;10056;848827,52356013;0,93;4,9678;104,19834;1,74
"100";2022-04-01;9384;815274,108235121;0,83;4,7574;91,71367;1,41
"101";2022-05-01;10394;810141,256195424;1,03;4,9545;101,45514;0,52
"102";2022-06-01;10975;805924,556997564;1,02;5,0486;99,37992;0,59
"103";2022-07-01;11554;827273,621883616;1,03;5,3675;99,3436;0,21
"104";2022-08-01;12501;826599,074988159;1,17;5,1427;116,74104;-0,7
"105";2022-09-01;11502;815602,844085794;1,07;5,2364;113,68107;-0,95
"106";2022-10-01;10796;863851,913474886;1,02;5,2497;102,80888;-0,97
"107";2022-11-01;10209;873788,471860597;1,02;5,2741;110,58016;-0,56
"108";2022-12-01;12476;883048,846130806;1,12;5,2418;89,87175;0,45
"109";2023-01-01;10457;808426,637339896;1,12;5,2001;80,1898;0,21
"110";2023-02-01;8108;824984,342683412;0,92;5,1711;86,84263;-0,06
"111";2023-03-01;10051;932191,935482981;1,17;5,2109;104,01888;0,05
"112";2023-04-01;7824;897963,055117231;0,92;5,0191;85,53866;-0,95
"113";2023-05-01;8223;905064,11987085;1,12;4,9822;104,54321;-1,84
"114";2023-06-01;7884;911346,172439844;1,07;4,851;93,87477;-1,93
"115";2023-07-01;8370;948155,73756231;1,07;4,8002;89,17114;-0,72
"116";2023-08-01;9314;967366,539618529;1,14;4,9029;104,75965;-0,14
"117";2023-09-01;8772;950401,617461771;0,97;4,9364;96,67072;0,37
"118";2023-10-01;9447;986267,974466594;1;5,0642;95,8679;0,5
"119";2023-11-01;9229;988355,450348837;0,92;4,8977;94,138;0,59
"120";2023-12-01;10345;969153,406123914;0,89;4,8966;79,71235;0,74
"121";2024-01-01;8217;899285,466499752;0,97;4,9138;80,1403;0,07
"122";2024-02-01;8376;909465,508212032;0,8;4,9638;95,02901;-0,52
"123";2024-03-01;9887;980420,841074149;0,83;4,9795;97,51153;-0,47
"124";2024-04-01;10758;1010210,54285401;0,89;5,1285;112,55848;0,31
"125";2024-05-01;9547;980713,321509535;0,83;5,1324;98,04415;0,89
"126";2024-06-01;9982;985235,813327786;0,79;5,3884;100,43804;0,81
"127";2024-07-01;11350;1020172,49785117;0,91;5,5414;113,19658;0,61
"128";2024-08-01;11526;1002555,98851145;0,87;5,552;117,97551;0,29
"129";2024-09-01;11455;988304,12928;0,84;5,541;115,50321;0,62
